municipality,canton,lat,lon
Morrens,VD,46.5921335679094,6.631391952960375
Munchenbuchsee,BE,47.01713684118128,7.4456929533316565
Munchenstein,BL,47.51973495841442,7.619568704129446
Munchwilen,TG,47.478944225786655,8.994595588795754
Munsingen,BE,46.887653735678214,7.5805224364634824
Munsterlingen,TG,47.628407440841954,9.234938188707767
Muralto,TI,46.17480921938907,8.80462694836486
Muri,AG,47.271777821235524,8.337580765702453
Muri bei Bern,BE,46.932687275648526,7.5016219294521465
Murten,FR,46.92683855471818,7.151239594639543
Muttenz,BL,47.52684386117157,7.643463671376393
Neftenbach,ZH,47.54134623163914,8.664469744470733
Neuchatel,NE,46.999187315881215,6.93662944589112
Neuenhof,AG,47.44423795132436,8.324315568879133
Nidau,BE,47.12620897185026,7.236922493929838
Niederbipp,BE,47.26723788892768,7.691347591776223
Niedergosgen,SO,47.37239364076048,7.984186104519737
Nottwil,LU,47.12449430702736,8.136885220895973
Nyon,VD,46.38339342676305,6.22853838299171
Oberbuchsiten,SO,47.31365603648548,7.762338977608321
Oberburen,SG,47.44039572912708,9.182223185340193
Oberburg,BE,47.022142817478894,7.60803328245425
Oberengstringen,ZH,47.41150287166923,8.467442922871557
Oberentfelden,AG,47.354191895045325,8.044819608823827
Oberkulm,AG,47.29810021082752,8.126321392254065
Oberriet,SG,47.32731415133584,9.539162832214727
Obersteckholz,BE,47.20039294529353,7.8243647095927775
Obfelden,ZH,47.26421001458362,8.418816639390194
Oensingen,SO,47.28768759638047,7.7173145100447975
Oftringen,AG,47.31160117149168,7.938231563350773
Olten,SO,47.34159876964957,7.899221675766222
Opfikon,ZH,47.43063084597662,8.574302639970043
Orbe,VD,46.72690457322825,6.542281707871871
Orvin,BE,47.162823861401385,7.21948380500404
Ostermundigen,BE,46.95631255790632,7.493509520492537
Payerne,VD,46.80722681438567,6.935489541022863
Pfaffikon,ZH,47.3751113819686,8.809269403068788
Plaffeien,FR,46.68943790387628,7.304728823247111
Plan-les-Ouates,GE,46.16373043371812,6.121359602825825
Plasselb,FR,46.71092536512762,7.238874016176242
Ponte Tresa,TI,45.970333477579324,8.859193052625573
Pontresina,GR,46.44426704630696,9.952625537977838
Porrentruy,JU,47.42115947647198,7.0652199240589715
Poschiavo,GR,46.35186180017764,10.072986529136097
Pratteln,BL,47.51805548171356,7.700066437907588
Prilly,VD,46.53641504622588,6.602288366411963
Rafz,ZH,47.614743716007325,8.539681114387419
Rapperswil-Jona,SG,47.238994335917866,8.854554089651865
Regensdorf,ZH,47.44283132236311,8.473961954038511
Reiden,LU,47.23950834815084,7.98063818004012
Reinach,BL,47.50140960709022,7.590735562343278
Reinach,AG,47.26094371476578,8.178371178058173
Reitnau,AG,47.253527286366385,8.022992280626898
Renens,VD,46.535970199963856,6.590157154864035
Rheinfelden,AG,47.558224170598784,7.803293503879492
Riehen,BS,47.57741518770381,7.657750561144616
Risch,ZG,47.14232669511824,8.438399638646441
Romanel-sur-Morges,VD,46.55712504579321,6.5131946083289405
Romanshorn,TG,47.56185094482241,9.362397040096806
Root,LU,47.11207261773819,8.385923105103346
Rorschach,SG,47.47621822753126,9.495615510175847
Rothenbach im Emmental,BE,46.84811224020173,7.749467391312049
Rothenburg,LU,47.106517994294386,8.275589043998428
Rothrist,AG,47.30179404516486,7.895926696703565
Rumlang,ZH,47.44428825271951,8.522891721929291
Russin,GE,46.196782420305844,6.0160725735917975
Saint-Legier-La Chiesaz,VD,46.48514769804655,6.892205961959061
Saint-Prex,VD,46.48509403039318,6.45202991729197
Samedan,GR,46.39885672685082,9.866782228656334
Sargans,SG,47.05530747388874,9.441655585142016
Sarmenstorf,AG,47.308302015996254,8.256733156560866
Sarnen,OW,46.90458501403949,8.20464076782795
Schaffhausen,SH,47.7187446491292,8.632085337732784
Schafisheim,AG,47.37368058700444,8.138189117153768
Schanis,SG,47.17437955152335,9.081128182924383
Schattdorf,UR,46.850231231338704,8.672286636298491
Schenkon,LU,47.18627831696928,8.131902206710809
Schlieren,ZH,47.39355260672163,8.447711486995734
Schmerikon,SG,47.229293931737224,8.944640160434812
Schotz,LU,47.16496593179733,7.961296691120149
Schwarzenburg,BE,46.821782058966,7.349682269825611
Schwyz,SZ,47.02378077769914,8.673724701080111
Seelisberg,UR,46.9558206698269,8.56436849309537
Seewen,SO,47.43276763901268,7.649039488018565
Sempach,LU,47.13621095198954,8.205814026285571
Sennwald,SG,47.24525868224978,9.457894690876149
Seon,AG,47.34993325418164,8.158359064328955
Seuzach,ZH,47.53530537445797,8.7323333366336
Sevelen,SG,47.135986903124284,9.450863778383127
Sierre,VS,46.28237727564726,7.507849872014495
Sigriswil,BE,46.71473936237642,7.737181694493878
Sion,VS,46.233530637860746,7.362320051598543
Sirnach,TG,47.452431917774646,8.999104256530936
Sissach,BL,47.46952563513435,7.80204555004377
Sisseln,AG,47.55231996123339,7.985801459122651
Solothurn,SO,47.2111455277846,7.534510548174099
Spiez,BE,46.698195942174294,7.665447237103652
Spreitenbach,AG,47.41634690580671,8.366722354192405
St. Gallen,SG,47.421304038288355,9.375445831470497
St. Margrethen,SG,47.45399620523892,9.614250892503103
St. Moritz,GR,46.49051775334706,9.799826060336825
Stabio,TI,45.84308924716674,8.93671817910485
Stafa,ZH,47.24053311053047,8.738052349510433
Stans,NW,46.95439768541644,8.36192522802633
Stansstad,NW,46.9787203498911,8.345026379810747
Stein,AG,47.54281452569849,7.950695593388352
Stein,AR,47.37566349907704,9.340740565528149
Steinach,SG,47.49598600278201,9.436389430093922
Steinhausen,ZG,47.19657203549652,8.486383809854473
Stettlen,BE,46.958241893416115,7.522638254650607
Strengelbach,AG,47.2808715682949,7.91733952385546
Studen,BE,47.11105134726326,7.298057918183749
Suhr,AG,47.374848248950215,8.083245424035628
Sulgen,TG,47.54125121597126,9.199593184361662
Sursee,LU,47.1779501726178,8.101974292297344
Tagerwilen,TG,47.64434858509832,9.132551175391297
Tavannes,BE,47.2258295178793,7.18767140266443
Tenniken,BL,47.43251254512358,7.812348298095771
Thalwil,ZH,47.289728156144974,8.563719365331176
Thayngen,SH,47.75727029341574,8.684381917536957
Thun,BE,46.74079146678479,7.635619161435105
Thusis,GR,46.674302050478076,9.49554625326984
Tolochenaz,VD,46.49684025525693,6.47886390366526
Trimbach,SO,47.36771986162208,7.884345757363062
Trimmis,GR,46.88673366331359,9.598297752996766
Tschugg,BE,47.024518822719706,7.075588842742069
Tubach,SG,47.48296631212262,9.452257404306584
Tuggen,SZ,47.19678534579764,8.93064736833619
Turbenthal,ZH,47.43175940501438,8.879645378954644
Turgi,AG,47.48895037405357,8.256766970848952
Uetendorf,BE,46.772916079638996,7.5677392131276
Untereggen,SG,47.45114544057334,9.449962839296797
Unterengstringen,ZH,47.409949421846115,8.436282838960793
Unterentfelden,AG,47.367194611639654,8.03893270453251
Unterseen,BE,46.68188867545926,7.82689987235757
Untervaz,GR,46.920751605073654,9.52330632409205
Urdorf,ZH,47.38103222136267,8.420830415341928
Ursy,FR,46.62324547270382,6.850051601946228
Urtenen-Schonbuhl,BE,47.0221325820957,7.501384324243548
Uster,ZH,47.35038804553586,8.718265053187581
Uznach,SG,47.23032594716548,8.978121000442773
Uzwil,SG,47.43947274560222,9.12368506717482
Vernier,GE,46.20950565369989,6.092153653118852
Vevey,VD,46.464867534430994,6.849559632318982
Villars-sur-Glane,FR,46.79567132121956,7.1243216156755045
Villeret,BE,47.16648452942145,7.011444036523898
Villmergen,AG,47.347830249215285,8.23579277055644
Vilters-Wangs,SG,47.01815975762664,9.425846699166236
Visp,VS,46.289121405052605,7.88067968167632
Vitznau,LU,47.021640349738576,8.486221846780516
Volketswil,ZH,47.394237063322116,8.694944089761679
Vouvry,VS,46.33412932271572,6.840181267831914
Wadenswil,ZH,47.218920495420846,8.651063713973889
Wald,ZH,47.284875585764894,8.918477198393708
Waldstatt,AR,47.356794290381444,9.284727727966226
Wallisellen,ZH,47.41808453906316,8.595479600244571
Wangen bei Olten,SO,47.33998387203389,7.875098184052062
Wattenwil,BE,46.76105278791692,7.496742552565457
Weinfelden,TG,47.57565664893836,9.125119488556349
Werthenstein,LU,47.0331131246838,8.103327861612351
Wettingen,AG,47.4662454376352,8.343989264144927
Wetzikon,ZH,47.32071211343611,8.811383140781338
Widnau,SG,47.403771533223285,9.635011183075553
Wil,SG,47.47815141351612,9.053261220724867
Willisau,LU,47.0923827572226,7.979186461526655
Winterthur,ZH,47.50057848613737,8.738078323450022
Wittenbach,SG,47.46597884664072,9.382111515502196
Witterswil,SO,47.49096261590492,7.5236023520931905
Wohlen,AG,47.354803043299064,8.284000150806007
Wolhusen,LU,47.05165932206024,8.050573004248934
Wollerau,SZ,47.19018863586161,8.706674499791907
Wunnewil-Flamatt,FR,46.8737178227399,7.290321181405284
Wurenlingen,AG,47.52890066440747,8.257458828934876
Wurenlos,AG,47.44791282873288,8.36834247684327
Zetzwil,AG,47.2890208278053,8.158197526228605
Zizers,GR,46.936667048688896,9.579657093159614
Zofingen,AG,47.291061246585045,7.966898542565419
Zollikofen,BE,46.993660798028145,7.452135053608798
Zollikon,ZH,47.34323070888743,8.59166253616613
Zuchwil,SO,47.20245578402928,7.560191612985497
Zug,ZG,47.15981595606076,8.522886998914586
Zurich,ZH,47.37460410872407,8.543936346928113
